Wavelength (nm),i
691,23.71955872
692,47.81746674
693,81.74074554
694,97.08810425
695,95.19728088
696,94.29193115
697,96.70442963
698,98.60012054
699,98.35684967
700,97.67707825
701,97.66310883
702,98.42447662
703,98.80497742
704,97.98104095
705,96.61820221
706,95.9885025
707,96.37662506
708,97.31092834
709,98.39134979
710,98.83865356
711,98.61751556
712,98.15117645
713,98.07348633
714,98.12724304
715,98.32936859
716,98.38463593
717,98.39455414
718,98.15235901
719,97.97606659
720,98.23410797
721,98.47343445
722,98.76325226
723,99.00243378
724,99.03561401
725,98.8223877
726,98.74351501
727,98.65283203
728,98.73036957
729,98.82377625
730,98.72688293
731,98.43691254
732,98.08011627
733,98.18579865
734,98.11756897
735,98.45298004
736,98.55386353
737,98.72258759
738,98.45296478
739,98.36153412
740,98.03395844
741,97.77198029
742,98.04397583
743,98.20418549
744,98.77999115
745,98.9565506
746,99.10113525
747,98.82820892
748,98.52067566
749,98.00506592
750,97.8085022
751,97.73062897
752,97.93066406
753,97.99324036
754,98.25058746
755,98.49966431
756,98.95057678
757,98.94943237
758,98.60218811
759,98.46263123
760,98.33863068
761,98.27559662
762,98.36010742
763,98.57175446
764,99.09736633
765,99.2302475
766,99.11911774
767,98.89639282
768,98.51141357
769,98.18945313
770,97.94309998
771,97.79153442
772,98.22995758
773,98.35671997
774,98.83546448
775,98.88462067
776,99.45552063
777,98.92149353
778,98.86287689
779,98.58580017
780,98.80215454
781,98.75140381
782,98.63865662
783,98.58917236
784,98.73052979
785,98.56007385
786,98.85699463
787,98.88083649
788,98.95080566
789,98.81912231
790,98.88867188
791,99.06047058
792,98.98287964
793,99.10419464
794,99.06759644
795,99.14601898
796,99.02646637
797,99.05863953
798,99.03980255
799,99.2722168
800,99.17684174
800,99.00469971
800.2000122,99.14415741
800.4000244,99.19563293
800.5999756,99.22935486
800.7999878,99.1922226
801,99.17449951
801.2000122,99.14270782
801.4000244,99.19642639
801.5999756,99.18521881
801.7999878,99.14558411
802,99.15117645
802.2000122,99.11925507
802.4000244,99.20931244
802.5999756,99.21916962
802.7999878,99.14791107
803,99.08760834
803.2000122,99.06291962
803.4000244,99.11517334
803.5999756,99.14211273
803.7999878,99.14437866
804,99.13300323
804.2000122,99.07538605
804.4000244,99.10923004
804.5999756,99.15265656
804.7999878,99.06513977
805,99.22805023
805.2000122,99.12210083
805.4000244,99.10198212
805.5999756,99.202034
805.7999878,99.16512299
806,99.12138367
806.2000122,99.15811157
806.4000244,99.13841248
806.5999756,99.14406586
806.7999878,99.12543488
807,99.03038025
807.2000122,99.13044739
807.4000244,99.10398102
807.5999756,99.04324341
807.7999878,99.10196686
808,99.07930756
808.2000122,99.07413483
808.4000244,99.09954071
808.5999756,99.07509613
808.7999878,99.06705475
809,99.04587555
809.2000122,99.09033203
809.4000244,99.08267212
809.5999756,99.06317902
809.7999878,99.03892517
810,99.11108398
810.2000122,99.01977539
810.4000244,99.07066345
810.5999756,99.12929535
810.7999878,99.03739166
811,99.00042725
811.2000122,99.0951767
811.4000244,99.03851318
811.5999756,99.03084564
811.7999878,99.131073
812,99.08139038
812.2000122,99.06293488
812.4000244,99.10430908
812.5999756,99.04666901
812.7999878,99.02450562
813,99.08001709
813.2000122,99.03718567
813.4000244,99.08582306
813.5999756,99.07730103
813.7999878,99.04862213
814,99.17470551
814.2000122,99.1271286
814.4000244,99.08943176
814.5999756,99.05995178
814.7999878,99.08421326
815,99.12029266
815.2000122,99.08405304
815.4000244,99.09566498
815.5999756,99.09695435
815.7999878,99.08050537
816,99.09225464
816.2000122,99.0611496
816.4000244,99.08854675
816.5999756,99.06931305
816.7999878,99.18990326
817,99.14246368
817.2000122,99.13049316
817.4000244,99.26299286
817.5999756,99.10382843
817.7999878,99.10359192
818,99.10591888
818.2000122,99.1246109
818.4000244,99.30007172
818.5999756,99.21183777
818.7999878,99.20059967
819,99.29988861
819.2000122,99.22103119
819.4000244,99.25271606
819.5999756,99.2827301
819.7999878,99.28081512
820,99.32650757
820.2000122,99.32870483
820.4000244,99.33714294
820.5999756,99.28645325
