Wavelength (nm),y
695,0.000478304
696,0.000658362
697,0.000735009
698,0.000773113
699,0.00077021
700,0.000868961
701,0.001697659
702,0.006153296
703,0.007660438
704,0.001667023
705,0.000533698
706,0.000218024
707,0.000133038
708,0.000134581
709,0.000124442
710,0.000115062
711,0.000133394
712,0.000290682
713,0.000677231
714,0.00219241
715,0.004068059
716,0.001989808
717,0.000837421
718,0.000550902
719,0.000451721
720,0.000515628
721,0.00095054
722,0.001862995
723,0.003488336
724,0.002939177
725,0.001400363
726,0.000822784
727,0.0006563
728,0.000576092
729,0.000834526
730,0.001554023
731,0.00386532
732,0.004228846
733,0.001690659
734,0.000569111
735,0.000266314
736,0.000277189
737,0.000156525
738,0.000221897
739,0.000153368
740,0.000253539
741,0.000335087
742,0.000750752
743,0.002313701
744,0.009727983
745,0.007024109
746,0.00166349
747,0.000688395
748,0.000401321
749,0.000386398
750,0.000283055
751,0.000410785
752,0.000437245
753,0.000457704
754,0.000504416
755,0.001148297
756,0.001828336
757,0.003300035
758,0.005532113
759,0.006469266
760,0.006075895
761,0.005183241
762,0.004815771
763,0.004840198
764,0.005484834
765,0.0062249
766,0.007220081
767,0.007572067
768,0.006769867
769,0.005326293
770,0.004641395
771,0.003771217
772,0.003778883
773,0.0037737
774,0.004232456
775,0.004775248
776,0.005538194
777,0.005832735
778,0.005473943
779,0.004329871
780,0.003303845
781,0.002813072
782,0.002364839
783,0.002134954
784,0.002187491
785,0.002302343
786,0.002809216
787,0.003167825
788,0.003543263
789,0.003708985
790,0.00345333
791,0.003147908
792,0.003379855
793,0.002889
794,0.003011342
795,0.00328267
796,0.004042141
797,0.004498168
798,0.004614788
799,0.004305754
800,0.002930039
800,0.003113231
800.2000122,0.004029825
800.4000244,0.005863598
800.5999756,0.005679959
800.7999878,0.005357527
801,0.003379581
801.2000122,0.005454868
801.4000244,0.006760742
801.5999756,0.005142057
801.7999878,0.005207899
802,0.003970067
802.2000122,0.004716319
802.4000244,0.005497271
802.5999756,0.005882703
802.7999878,0.003339883
803,0.002887196
803.2000122,0.004679583
803.4000244,0.002894088
803.5999756,0.004409897
803.7999878,0.004809939
804,0.004134291
804.2000122,0.001548753
804.4000244,0.004490564
804.5999756,0.003293252
804.7999878,0.002968127
805,0.004180284
805.2000122,0.006334432
805.4000244,0.004764582
805.5999756,0.00486082
805.7999878,0.005826305
806,0.003568848
806.2000122,0.003830142
806.4000244,0.003734932
806.5999756,0.004790348
806.7999878,0.002863089
807,0.004910742
807.2000122,0.002416419
807.4000244,0.003867727
807.5999756,0.005861292
807.7999878,0.002981111
808,0.003716742
808.2000122,0.00245115
808.4000244,0.00387592
808.5999756,0.003645413
808.7999878,0.002805403
809,0.002656207
809.2000122,0.003595323
809.4000244,0.004870866
809.5999756,0.003681875
809.7999878,0.004925164
810,0.005204895
810.2000122,0.003244794
810.4000244,0.004621062
810.5999756,0.005374065
810.7999878,0.002260678
811,0.003771462
811.2000122,0.004052588
811.4000244,0.003568661
811.5999756,0.003661881
811.7999878,0.004633477
812,0.002522838
812.2000122,0.004061192
812.4000244,0.005016665
812.5999756,0.000988902
812.7999878,0.00406829
813,0.002805149
813.2000122,0.003339168
813.4000244,0.000648513
813.5999756,0.002669178
813.7999878,0.002994076
814,0.003944122
814.2000122,0.004415364
814.4000244,0.002118181
814.5999756,0.003751979
814.7999878,0.003953548
815,0.004415564
815.2000122,0.003110124
815.4000244,0.002139744
815.5999756,0.003959114
815.7999878,0.003218568
816,0.004118325
816.2000122,0.003487391
816.4000244,0.003337786
816.5999756,0.003089003
816.7999878,0.003670076
817,0.00214689
817.2000122,0.00359156
817.4000244,0.003916527
817.5999756,0.004212399
817.7999878,0.004565309
818,0.001824048
818.2000122,0.004114896
818.4000244,0.003022443
818.5999756,0.004909046
818.7999878,0.004931523
819,0.002548657
819.2000122,0.003097692
819.4000244,0.002870957
819.5999756,0.00424444
819.7999878,0.003355442
820,0.003969667
820.2000122,0.003934652
820.4000244,0.002520238
820.5999756,0.002905968
820.7999878,0.002886323
821,0.004189045
821.2000122,0.003110815
821.4000244,0.003177293
821.5999756,0.002427871
821.7999878,0.002236397
822,0.003358986
822.2000122,0.001651867
822.4000244,0.003697105
822.5999756,0.004883098
822.7999878,0.002977121
823,0.004797707
823.2000122,0.003303322
823.4000244,0.002883747
823.5999756,0.003174558
823.7999878,0.003277815
824,0.004170601
824.2000122,0.003889638
824.4000244,0.001802029
824.5999756,0.002755169
824.7999878,0.002480306
825,0.002676388
825.2000122,0.003677957
825.4000244,0.00254228
825.5999756,0.002515435
825.7999878,0.001090337
826,0.002645954
826.2000122,0.002299593
826.4000244,0.00335824
826.5999756,0.002107395
826.7999878,0.003477586
827,0.003395196
827.2000122,0.002902935
827.4000244,0.001913184
827.5999756,0.00389892
827.7999878,0.002498863
828,0.001321407
828.2000122,0.003583773
828.4000244,0.001303693
828.5999756,0.002693561
828.7999878,0.00358783
829,0.002708264
829.2000122,0.001726803
829.4000244,0.003395283
829.5999756,0.003692632
829.7999878,0.001170053
830,0.003286157
830.2000122,0.001502805
830.4000244,0.00311949
830.5999756,0.002453726
830.7999878,0.001121242
831,0.002806706
831.2000122,0.001493024
831.4000244,0.002597299
831.5999756,0.003366701
831.7999878,0.002128008
832,0.002746447
832.2000122,0.001307101
832.4000244,0.00183156
832.5999756,0.002706007
832.7999878,0.002954153
833,0.002781518
833.2000122,0.002366711
833.4000244,0.001731003
833.5999756,0.003260769
833.7999878,0.002088517
834,0.002808374
834.2000122,0.003462357
834.4000244,0.003162175
834.5999756,0.002059986
834.7999878,0.00195364
835,0.001620617
835.2000122,0.001800679
835.4000244,0.000372697
835.5999756,0.002795283
835.7999878,0.002227443
836,0.002762237
836.2000122,0.001687464
836.4000244,0.002241029
836.5999756,0.002496473
836.7999878,0.001723555
837,0.003104584
837.2000122,0.00196234
837.4000244,0.002746128
837.5999756,0.002098271
837.7999878,0.003501428
838,0.001818067
838.2000122,0.003140924
838.4000244,0.003545489
838.5999756,0.002323665
838.7999878,0.003095543
839,0.003631557
839.2000122,0.003231159
839.4000244,0.002569907
839.5999756,0.001748885
839.7999878,0.002678583
840,0.002578409
840.2000122,0.003018885
840.4000244,0.002027587
840.5999756,0.003307679
840.7999878,0.003215002
841,0.002477466
841.2000122,0.001472885
841.4000244,0.001975319
841.5999756,0.002351074
841.7999878,0.001460135
842,0.003380979
842.2000122,0.002805141
842.4000244,0.002619359
842.5999756,0.001823942
842.7999878,0.001928465
843,0.002859078
843.2000122,0.002834823
843.4000244,0.001674824
843.5999756,0.002166579
843.7999878,0.002576325
844,0.00264009
844.2000122,0.00283611
844.4000244,0.002586314
844.5999756,0.003075141
844.7999878,0.003247816
845,0.003884646
845.2000122,0.003330705
845.4000244,0.001326993
845.5999756,0.003433819
845.7999878,0.003045094
846,0.002341509
846.2000122,0.003229519
846.4000244,0.002392751
846.5999756,0.003359114
846.7999878,0.002500117
847,0.002648756
847.2000122,0.002250954
847.4000244,0.003386931
847.5999756,0.003401627
847.7999878,0.002640806
848,0.00158473
848.2000122,0.002648345
848.4000244,0.003334846
848.5999756,0.002572335
848.7999878,0.003412436
849,0.003277809
849.2000122,0.003129626
849.4000244,0.003738082
849.5999756,0.002160452
849.7999878,0.003466848
850,0.002792249
850.2000122,0.003197851
850.4000244,0.003383669
850.5999756,0.003550918
850.7999878,0.00287638
851,0.003629114
851.2000122,0.00334104
851.4000244,0.003403082
851.5999756,0.002752978
851.7999878,0.002509506
852,0.003662386
852.2000122,0.003428829
852.4000244,0.001866009
852.5999756,0.002687549
852.7999878,0.002572085
853,0.003789931
853.2000122,0.002961667
853.4000244,0.003332036
853.5999756,0.003471332
853.7999878,0.002582624
854,0.003195178
854.2000122,0.003293491
854.4000244,0.002393639
854.5999756,0.003152517
854.7999878,0.00272358
855,0.001994312
855.2000122,0.002998315
855.4000244,0.00228064
855.5999756,0.002757561
855.7999878,0.002347782
856,0.002916637
856.2000122,0.002983088
856.4000244,0.003013112
856.5999756,0.003087411
856.7999878,0.003239238
857,0.003314432
857.2000122,0.003089748
857.4000244,0.003202447
857.5999756,0.003387552
857.7999878,0.002610398
858,0.00262439
858.2000122,0.002713573
858.4000244,0.00294806
858.5999756,0.002977618
858.7999878,0.004516467
859,0.003524344
859.2000122,0.003466354
859.4000244,0.003523699
859.5999756,0.00347124
859.7999878,0.002722244
860,0.003427523
860.2000122,0.003505614
860.4000244,0.003069407
860.5999756,0.003647446
860.7999878,0.003583231
861,0.003583285
861.2000122,0.003889468
861.4000244,0.003790487
861.5999756,0.003798699
861.7999878,0.003817995
862,0.004152524
862.2000122,0.002951226
862.4000244,0.004108538
862.5999756,0.003716892
862.7999878,0.003607609
863,0.004123193
863.2000122,0.003893753
863.4000244,0.003939616
863.5999756,0.003482739
863.7999878,0.004704633
864,0.003139583
864.2000122,0.003467831
864.4000244,0.003464354
864.5999756,0.002635713
864.7999878,0.003078953
865,0.003294327
865.2000122,0.004427952
865.4000244,0.004091009
865.5999756,0.002981426
865.7999878,0.003777006
866,0.004022858
866.2000122,0.002987114
866.4000244,0.003557168
866.5999756,0.004163568
866.7999878,0.004110685
867,0.003053128
867.2000122,0.003267646
867.4000244,0.003446919
867.5999756,0.003110251
867.7999878,0.003928839
868,0.003896123
868.2000122,0.003080436
868.4000244,0.003735128
868.5999756,0.003340937
868.7999878,0.00361504
869,0.003143515
869.2000122,0.003468626
869.4000244,0.003615804
869.5999756,0.003378109
869.7999878,0.003024666
870,0.00341432
870.2000122,0.003285579
870.4000244,0.003580733
870.5999756,0.003242301
870.7999878,0.003809481
871,0.003147914
871.2000122,0.003636041
871.4000244,0.003185238
871.5999756,0.003251858
871.7999878,0.003598722
872,0.003192015
872.2000122,0.003473851
872.4000244,0.003713588
872.5999756,0.003128201
872.7999878,0.003697621
873,0.003527661
873.2000122,0.003594274
873.4000244,0.003594598
873.5999756,0.003536831
873.7999878,0.002970496
874,0.003016475
874.2000122,0.002984718
874.4000244,0.003103052
874.5999756,0.003246325
874.7999878,0.003107336
875,0.00288979
875.2000122,0.003219399
875.4000244,0.003351699
875.5999756,0.002696585
875.7999878,0.002934479
876,0.003093371
876.2000122,0.003169516
876.4000244,0.003275841
876.5999756,0.003653105
876.7999878,0.003161101
877,0.003379544
877.2000122,0.003123523
877.4000244,0.003162018
877.5999756,0.003060498
877.7999878,0.003004187
878,0.003641979
878.2000122,0.003100272
878.4000244,0.003076693
878.5999756,0.003167726
878.7999878,0.003520771
879,0.003247058
879.2000122,0.003312555
879.4000244,0.003568685
879.5999756,0.002988894
879.7999878,0.003208045
880,0.003141388
880.2000122,0.002766711
880.4000244,0.00293691
880.5999756,0.003193318
880.7999878,0.002898701
881,0.002876761
881.2000122,0.003328771
881.4000244,0.003356393
881.5999756,0.002766936
881.7999878,0.003343141
882,0.003178168
882.2000122,0.002749553
882.4000244,0.003423712
882.5999756,0.002861115
882.7999878,0.002850077
883,0.003236569
883.2000122,0.00310814
883.4000244,0.003191375
883.5999756,0.002795433
883.7999878,0.003164402
884,0.002979814
884.2000122,0.003301916
884.4000244,0.003101208
884.5999756,0.003268219
884.7999878,0.002837968
885,0.002954181
885.2000122,0.00306283
885.4000244,0.003118785
885.5999756,0.003018927
885.7999878,0.003089323
886,0.003338772
886.2000122,0.002999824
886.4000244,0.003383856
886.5999756,0.003138832
886.7999878,0.003499442
887,0.003195195
887.2000122,0.002900836
887.4000244,0.003491473
887.5999756,0.00348425
887.7999878,0.003009055
888,0.003175373
888.2000122,0.003032489
888.4000244,0.003178328
888.5999756,0.00325898
888.7999878,0.00294652
889,0.003368945
889.2000122,0.003698363
889.4000244,0.002955164
889.5999756,0.003352353
889.7999878,0.003340549
