Wavelength (nm),g
696,0.000491553
697,0.000559966
698,0.00074933
699,0.000900424
700,0.001211975
701,0.001751322
702,0.00292702
703,0.006101696
704,0.011198946
705,0.011518778
706,0.00695714
707,0.004118804
708,0.002883126
709,0.00256151
710,0.002340705
711,0.002684684
712,0.003184902
713,0.0039737
714,0.004630461
715,0.005300397
716,0.005347613
717,0.005025899
718,0.004828937
719,0.004630881
720,0.004772272
721,0.005088725
722,0.005661702
723,0.006118042
724,0.006549558
725,0.007024309
726,0.006977122
727,0.006668017
728,0.005925517
729,0.005033056
730,0.003917106
731,0.003144801
732,0.002780239
733,0.002366175
734,0.002199091
735,0.002519126
736,0.003110938
737,0.004342201
738,0.006783498
739,0.008910557
740,0.007662883
741,0.004064451
742,0.002056213
743,0.001124532
744,0.000812316
745,0.000528764
746,0.000352499
747,0.000363925
748,0.000234728
749,0.000290042
750,0.000257356
751,0.000301369
752,0.000282738
753,0.000269171
754,0.000306926
755,0.000479513
756,0.000609061
757,0.000651336
758,0.000795896
759,0.000984708
760,0.001134968
761,0.001527373
762,0.001858573
763,0.002226467
764,0.002610937
765,0.003072358
766,0.003658559
767,0.004424139
768,0.005484708
769,0.006355457
770,0.0080964
771,0.008081278
772,0.007277733
773,0.006253101
774,0.005224114
775,0.004118463
776,0.003295417
777,0.003285913
778,0.003211093
779,0.003269001
780,0.003518796
781,0.003811619
782,0.00479639
783,0.005049737
784,0.005407349
785,0.004994628
786,0.00385416
787,0.002935782
788,0.002357523
789,0.001678158
790,0.001351127
791,0.00102001
792,0.000830973
793,0.000672102
794,0.000588491
795,0.000542293
796,0.000470806
797,0.000486281
798,0.000588274
799,0.000487466
800,0.00242019
800,0.000425417
800.2000122,0.005929894
800.4000244,0.00395193
800.5999756,0.005676639
800.7999878,0.002906119
801,0.000738836
801.2000122,0.003309716
801.4000244,0.003944092
801.5999756,0.001562615
801.7999878,0.004644956
802,0.003345774
802.2000122,0.002636526
802.4000244,0.002048248
802.5999756,0.004758324
802.7999878,0.002583531
803,0.004573912
803.2000122,0.002901383
803.4000244,0.001952085
803.5999756,0.003391794
803.7999878,0.005726828
804,0.002500937
804.2000122,0.002333131
804.4000244,0.003310689
804.5999756,0.002544018
804.7999878,0.00361425
805,0.004228168
805.2000122,0.004672044
805.4000244,0.002804651
805.5999756,0.006258724
805.7999878,0.004081843
806,0.004240159
806.2000122,0.001086187
806.4000244,0.003324418
806.5999756,0.004110465
806.7999878,0.003256948
807,0.004906446
807.2000122,0.002566396
807.4000244,0.003250449
807.5999756,0.00394858
807.7999878,0.003932215
808,0.001938005
808.2000122,0.00233507
