Wavelength (nm),r
698,0.228192896
699,0.084491409
700,0.035162598
701,0.016316101
702,0.008240332
703,0.004592427
704,0.002627824
705,0.001673026
706,0.001145962
707,0.000824389
708,0.00061366
709,0.000497934
710,0.000441471
711,0.000412347
712,0.000426354
713,0.000445375
714,0.000591279
715,0.000801085
716,0.0011623
717,0.001744917
718,0.002135332
719,0.001848707
720,0.001169164
721,0.000778411
722,0.000511185
723,0.000433032
724,0.000338878
725,0.000383526
726,0.000425308
727,0.000572091
728,0.000928151
729,0.001816278
730,0.004100371
731,0.007370718
732,0.005880382
733,0.002878502
734,0.001650874
735,0.001144854
736,0.000974873
737,0.001073323
738,0.001211578
739,0.001565227
740,0.002030482
741,0.002348693
742,0.002158795
743,0.001680011
744,0.001246334
745,0.000921705
746,0.000834509
747,0.00083724
748,0.000813536
749,0.001117618
750,0.001540804
751,0.002417011
752,0.003645416
753,0.004011485
754,0.002742133
755,0.001429667
756,0.00090687
757,0.000501447
758,0.000305246
759,0.00020542
760,0.000120382
761,0.000102281
762,0.0000991
763,0.0000143
764,0.00000803
765,0.0000186
766,0.0000292
767,0.0000113
768,-0.00000962
769,0.0000388
770,0.000036
771,0.0000286
772,0.0000997
773,0.000219257
774,0.000369804
775,0.000552142
776,0.001203193
777,0.001699093
778,0.001910848
779,0.00147782
780,0.001402371
781,0.001374086
782,0.001442507
783,0.002054125
784,0.00323243
785,0.005511235
786,0.006788877
787,0.004833956
788,0.002452596
789,0.001457273
790,0.000968908
791,0.000764091
792,0.000631
793,0.000641475
794,0.000756195
795,0.001025366
796,0.001306541
797,0.001759906
798,0.002157262
799,0.002227448
800,0.032197043
801,0.033661969
802,0.032299832
803,0.031079398
804,0.033053517
805,0.031591866
806,0.032002617
807,0.032903779
808,0.033384729
809,0.031342193
810,0.03272726
811,0.032046586
812,0.032664169
813,0.032037552
814,0.032229256
815,0.031920351
816,0.032461401
817,0.032702848
818,0.031255975
819,0.032016058
820,0.03250001
821,0.031549171
822,0.030227812
823,0.031479657
824,0.031444777
825,0.032956585
826,0.03308725
827,0.032144088
828,0.032613184
829,0.032767009
830,0.034125492
831,0.033345312
832,0.033531182
833,0.031675469
834,0.032481767
835,0.033686608
836,0.03247565
837,0.032081753
838,0.033069581
839,0.030591382
840,0.032700352
841,0.032758281
842,0.033760805
843,0.033281658
844,0.032938078
845,0.033215627
846,0.033337895
847,0.032406226
848,0.034658004
849,0.033269804
850,0.031104553
851,0.032924384
852,0.03264942
853,0.033522289
854,0.034210503
855,0.033031769
856,0.033990745
857,0.033901155
858,0.034716196
859,0.034023687
860,0.034973644
861,0.036125414
862,0.035256475
863,0.035059012
864,0.035413321
865,0.036092632
866,0.035604026
867,0.034524418
868,0.034800433
869,0.035008386
870,0.034221962
871,0.034481704
872,0.033639353
873,0.03403515
874,0.034937028
875,0.035451852
876,0.036215357
877,0.037493736
878,0.037172124
879,0.034919232
880,0.037397526
881,0.037168812
882,0.034986027
883,0.035359621
884,0.034900427
885,0.034194261
886,0.033751201
887,0.034078669
888,0.033101112
889,0.033067681
890,0.034472041
891,0.034642477
892,0.034823332
893,0.034199569
894,0.032205876
895,0.032006498
896,0.033152971
897,0.032581583
898,0.033066068
899,0.03157682
900,0.03230736
901,0.031704314
902,0.031899378
903,0.031320222
904,0.033192769
905,0.032511309
906,0.032784902
907,0.033648189
908,0.035845529
909,0.036597855
910,0.035678986
911,0.038221419
912,0.037839841
913,0.035462637
914,0.034185879
915,0.034074187
916,0.033549897
917,0.033104692
918,0.032122228
919,0.035300232
920,0.03457316
921,0.034996267
922,0.033644766
923,0.036134586
924,0.035260543
925,0.034598492
926,0.034411483
927,0.032233257
928,0.030876514
929,0.030420994
930,0.030678086
931,0.031937715
932,0.030554324
933,0.032224271
934,0.03135293
935,0.030856283
936,0.031636216
937,0.032706074
938,0.0315542
939,0.032644715
940,0.031366192
941,0.031387664
942,0.031325329
943,0.031385969
944,0.03071258
945,0.030949296
946,0.0317613
947,0.030893661
948,0.03322063
949,0.030959241
950,0.032270204
951,0.030481257
952,0.031501904
953,0.03093729
954,0.031388767
955,0.031052027
956,0.030426024
957,0.031456344
958,0.030486472
959,0.032106154
960,0.030421451
961,0.031253587
962,0.030805252
963,0.031344824
964,0.031384796
965,0.031817868
966,0.031232651
967,0.030951411
968,0.03196092
969,0.033529442
970,0.032842405
971,0.033103786
972,0.032728583
973,0.032024354
974,0.03159425
975,0.031559646
976,0.03209009
977,0.031101715
978,0.031990964
979,0.030810103
980,0.030289942
981,0.031936198
982,0.031917885
983,0.032731555
984,0.031505439
985,0.030796986
986,0.032063182
987,0.031319227
988,0.032473948
989,0.031164326
990,0.031689469
991,0.032048952
992,0.031981017
993,0.032681651
994,0.031107431
995,0.032055505
996,0.033022098
997,0.030575424
998,0.033570044
999,0.030943865
1000,0.031764373
1001,0.031543661
1002,0.031212438
1003,0.03333199
1004,0.0301427
1005,0.032240883
1006,0.034388285
1007,0.031611413
1008,0.032441828
1009,0.032693889
1010,0.033549007
1011,0.034306046
1012,0.034951851
1013,0.035740454
1014,0.038518235
1015,0.039348148
1016,0.040151607
1017,0.040761389
1018,0.042441249
1019,0.043574326
1020,0.044240449
1021,0.046178155
1022,0.048340213
1023,0.051051691
1024,0.058010574
1025,0.067874558
1026,0.083289757
1027,0.107121758
1028,0.12826623
1029,0.13941437
1030,0.130665883
1031,0.110474847
1032,0.089303657
1033,0.073214285
1034,0.063102335
1035,0.058227085
1036,0.054527581
1037,0.054317467
1038,0.053371396
1039,0.055457778
1040,0.058285449
1041,0.062636539
1042,0.068115547
1043,0.074666984
1044,0.081510969
1045,0.081027307
1046,0.075633541
1047,0.068670362
1048,0.058030959
1049,0.050201152
1050,0.046093371
1051,0.041812599
1052,0.04051419
1053,0.037694942
1054,0.036884952
1055,0.036062706
1056,0.03656229
1057,0.036108539
1058,0.036120791
1059,0.035794705
1060,0.03541515
1061,0.035636369
1062,0.036811903
1063,0.036412459
1064,0.036479793
1065,0.037722576
1066,0.037347589
1067,0.039653812
1068,0.040003501
1069,0.042139299
1070,0.043885466
1071,0.045110386
1072,0.047249034
1073,0.04811231
1074,0.047716182
1075,0.04838885
1076,0.04921392
1077,0.047899079
1078,0.04899827
1079,0.047990143
1080,0.048723236
1081,0.049365904
1082,0.048711877
1083,0.051361986
1084,0.05164931
1085,0.054591395
1086,0.057208609
1087,0.062453642
1088,0.070131585
1089,0.079557098
1090,0.094599873
1091,0.112663195
1092,0.136372477
1093,0.150799543
1094,0.159067914
1095,0.152306885
1096,0.133651212
1097,0.114214934
1098,0.097250737
1099,0.082936794
1100,0.075048968
