Wavelength (nm),z
646.2399902,-0.021887016
646.0599976,-0.021013124
645.8800049,-0.020121155
645.7000122,-0.019155163
645.5200195,-0.018197082
645.3400269,-0.016257156
645.1599731,-0.013407843
644.9799805,-0.010874139
644.7999878,-0.006659747
644.6199951,-0.001114318
644.4400024,0.004749794
644.2600098,0.013072294
644.0800171,0.020527683
643.9000244,0.026462905
643.7200317,0.028348923
643.539978,0.026593907
643.3599854,0.022056771
643.1799927,0.01456596
643,0.008506306
642.8200073,0.002089684
642.6400146,-0.002880094
642.460022,-0.007358946
642.2800293,-0.010124071
642.0999756,-0.01250527
641.9199829,-0.014892319
641.7399902,-0.01661353
641.5599976,-0.017762357
641.3800049,-0.018831622
641.2000122,-0.019403148
641.0200195,-0.020082997
640.8400269,-0.020656399
640.6599731,-0.021181691
640.4799805,-0.021429511
640.2999878,-0.021894425
640.1199951,-0.02190272
639.9400024,-0.022051919
639.7600098,-0.023035474
639.5800171,-0.022827193
639.4000244,-0.023021273
639.2200317,-0.022859961
639.039978,-0.022678534
638.8599854,-0.023133393
638.6799927,-0.023217408
638.5,-0.023119595
638.3200073,-0.023327474
638.1400146,-0.023460349
637.960022,-0.023012936
637.7800293,-0.023588544
637.5999756,-0.023629535
637.4199829,-0.023991235
637.2399902,-0.023623878
637.0599976,-0.023753399
636.8800049,-0.023432367
636.7000122,-0.023538463
636.5200195,-0.023970023
636.3400269,-0.023728088
636.1599731,-0.023743367
635.9799805,-0.023649596
635.7999878,-0.023938227
635.6199951,-0.023949429
635.4400024,-0.023721775
635.2600098,-0.023688572
635.0800171,-0.024110507
634.9000244,-0.023846822
634.7200317,-0.02402032
634.539978,-0.024172915
634.3599854,-0.023701364
634.1799927,-0.024310797
634,-0.023814345
633.8200073,-0.023932364
633.6400146,-0.023851108
633.460022,-0.024140665
633.2800293,-0.023877686
633.0999756,-0.023699876
632.9199829,-0.023981197
632.7399902,-0.023833532
632.5599976,-0.023770723
632.3800049,-0.023601137
632.2000122,-0.023862051
632.0200195,-0.023837538
631.8400269,-0.023862198
631.6599731,-0.023633847
631.4799805,-0.023588764
631.2999878,-0.023924656
