Wavelength (nm),zs
691,0.000665559
692,0.000458552
693,0.000329598
694,0.000356862
695,0.000448538
696,0.000643871
697,0.000938549
698,0.001019969
699,0.000700423
700,0.000410592
701,0.000307009
702,0.000153457
703,0.000133421
704,0.000190435
705,0.000228222
706,0.00029032
707,0.000350477
708,0.000534245
709,0.000680744
710,0.000806754
711,0.001183848
712,0.001818198
713,0.003606185
714,0.006193471
715,0.004475847
716,0.001653481
717,0.000760176
718,0.000394642
719,0.000278537
720,0.000205773
721,0.000145913
722,0.000229607
723,0.00020563
724,0.000312579
725,0.0003502
726,0.00038219
727,0.000260351
728,0.000259543
729,0.00019956
730,0.000125971
731,0.0000461
732,0.0000648
733,0.00010779
734,0.0000417
735,0.0000287
736,0.0000506
737,0.000000056
738,0.0000438
739,0.0000299
740,0.0000292
741,0.0000817
742,0.00016668
743,0.000239858
744,0.000474799
745,0.000979877
746,0.001181352
747,0.001027843
748,0.00065576
749,0.000483065
750,0.000295021
751,0.00025423
752,0.000264962
753,0.00025621
754,0.000412977
755,0.000697017
756,0.001017097
757,0.001363194
758,0.001635222
759,0.00137902
760,0.001141124
761,0.000836511
762,0.000856671
763,0.000745841
764,0.000842304
765,0.000949345
766,0.001182337
767,0.001605764
768,0.001843487
769,0.001881574
770,0.001618223
771,0.001374986
772,0.001186191
773,0.001252577
774,0.001240422
775,0.001459246
776,0.001798602
777,0.002055847
778,0.00269682
779,0.003071276
780,0.003015486
781,0.002819592
782,0.002099611
783,0.001818146
784,0.001561843
785,0.001462823
786,0.001288312
787,0.001366605
788,0.001716326
789,0.002062604
790,0.002600281
791,0.003310063
792,0.004226489
793,0.004779756
794,0.004372951
795,0.003656762
796,0.002892122
797,0.002312256
798,0.001704486
799,0.001664584
800,0.021342976
800,0.001543998
800.2000122,0.023899058
800.4000244,0.024854546
800.5999756,0.026250647
800.7999878,0.028193643
801,0.030108986
801.2000122,0.03074511
801.4000244,0.036436763
801.5999756,0.037735414
801.7999878,0.04158514
802,0.045161903
802.2000122,0.050126236
802.4000244,0.057565764
802.5999756,0.065731041
802.7999878,0.073045298
803,0.082886033
803.2000122,0.097582087
803.4000244,0.111361451
803.5999756,0.132588267
803.7999878,0.153009296
804,0.183677599
804.2000122,0.217145145
804.4000244,0.258696616
804.5999756,0.299606055
804.7999878,0.355473012
805,0.427861005
805.2000122,0.500095546
805.4000244,0.584586263
805.5999756,0.667880356
805.7999878,0.785466552
806,0.893768847
806.2000122,1.017803669
806.4000244,1.127009273
806.5999756,1.291743517
806.7999878,1.447220564
807,1.622853637
807.2000122,1.786722422
807.4000244,1.973562837
807.5999756,2.182466269
807.7999878,2.374208689
808,2.578989506
808.2000122,2.77627039
808.4000244,3.045446873
808.5999756,3.272246122
808.7999878,3.541097403
809,3.765450478
809.2000122,4.062148094
809.4000244,4.321922779
809.5999756,4.635375977
809.7999878,4.891526222
810,5.224863052
810.2000122,5.571786404
810.4000244,5.900259495
810.5999756,6.228829384
810.7999878,6.531055927
811,6.935311794
811.2000122,7.271217346
811.4000244,7.64774704
811.5999756,7.967555523
811.7999878,8.42072773
812,8.802266121
812.2000122,9.230266571
812.4000244,9.595556259
812.5999756,10.02774715
812.7999878,10.46847439
813,10.91595936
813.2000122,11.31972122
813.4000244,11.7514286
813.5999756,12.2710619
813.7999878,12.71881866
814,13.20756245
814.2000122,13.62505436
814.4000244,14.19350338
814.5999756,14.68768597
814.7999878,15.22977924
815,15.66392803
815.2000122,16.25535393
815.4000244,16.81400299
815.5999756,17.3667469
815.7999878,17.90543175
816,18.43721771
816.2000122,19.08669472
816.4000244,19.63308716
816.5999756,20.24246597
816.7999878,20.75306892
817,21.43444061
817.2000122,22.04480934
817.4000244,22.74007416
817.5999756,23.28939056
817.7999878,23.97858047
818,24.65121841
