# mag_err	date_mid	saturated	flux_hz	flux_hz_err	date_end	date_start	mag_lim	filter	flux_aa_err	mag	flux_aa
0.158045	2016-04-06 10:20:53	0	0.0229595	0.00335709	2016-04-06 13:35:31	2016-04-06 07:06:15	20.4188	UVW1	1.49916e-17	18.9733	1.0253e-16
0.351678	2016-04-06 10:26:20.500000	0	0.00319674	0.00103401	2016-04-06 13:44:02	2016-04-06 07:08:39	20.9822	UVW2	7.5002e-18	20.9079	2.31875e-17
0.0503946	2016-04-18 04:04:55.500000	0	1.60464	0.0686353	2016-04-18 16:01:43	2016-04-17 16:08:08	20.2914	B	1.09798e-16	16.0055	2.56698e-15
0.176138	2016-04-18 04:15:05	0	0.0117853	0.00188544	2016-04-18 16:16:56	2016-04-17 16:13:14	20.8691	UVM2	1.13766e-17	19.5368	7.11119e-17
0.0556928	2016-04-18 04:03:59.500000	0	1.04626	0.0526015	2016-04-18 16:00:34	2016-04-17 16:07:25	19.8963	U	1.28657e-16	15.3489	2.55903e-15
0.0652117	2016-04-18 04:10:22.500000	0	1.48972	0.0885568	2016-04-18 16:08:17	2016-04-17 16:12:28	19.1389	V	9.09774e-17	15.9708	1.53044e-15
0.0715316	2016-04-18 02:24:19.500000	0	0.177229	0.0119298	2016-04-18 15:59:26	2016-04-17 12:49:13	20.5132	UVW1	5.32745e-17	16.7544	7.91443e-16
0.114109	2016-04-18 04:08:02.500000	0	0.0363875	0.0037737	2016-04-18 16:07:09	2016-04-17 16:08:56	20.8009	UVW2	2.73724e-17	18.2673	2.63936e-16
0.0484066	2016-05-01 14:08:24.500000	0	1.0213	0.0416475	2016-05-01 14:57:59	2016-05-01 13:18:50	20.808	B	6.66245e-17	16.496	1.6338e-15
0.0532183	2016-05-01 14:04:51.500000	0	0.362088	0.0173615	2016-05-01 14:55:31	2016-05-01 13:14:12	20.8852	U	4.24644e-17	16.501	8.85627e-16
0.0625818	2016-05-01 14:09:56.500000	0	1.2613	0.0718897	2016-05-01 14:58:42	2016-05-01 13:21:11	19.3607	V	7.38547e-17	16.1515	1.29577e-15
0.0752843	2016-05-01 13:56:42.500000	0	0.0498498	0.00352436	2016-05-01 14:50:40	2016-05-01 13:02:45	21.1981	UVW1	1.57386e-17	18.1316	2.22613e-16
0.0561273	2016-04-09 19:53:19	0	0.57036	0.0276349	2016-04-09 23:08:25	2016-04-09 16:38:13	20.6211	B	4.42083e-17	17.1285	9.1242e-16
0.212267	2016-04-09 20:02:47	0	0.00506739	0.000981271	2016-04-09 23:18:57	2016-04-09 16:46:37	21.3207	UVM2	5.92092e-18	20.4532	3.05763e-17
0.0583609	2016-04-09 19:52:17	0	0.47407	0.0250218	2016-04-09 23:07:35	2016-04-09 16:36:59	20.2301	U	6.12005e-17	16.2084	1.15952e-15
0.0744601	2016-04-09 19:59:13	0	0.577071	0.0392642	2016-04-09 23:13:03	2016-04-09 16:45:23	19.599	V	4.03374e-17	17.0005	5.92844e-16
0.0845138	2016-04-09 19:50:05	0	0.0671564	0.005309	2016-04-09 23:06:46	2016-04-09 16:33:24	20.7428	UVW1	2.37082e-17	17.808	2.99898e-16
0.133145	2016-04-09 19:55:51	0	0.0129703	0.00157515	2016-04-09 23:12:14	2016-04-09 16:39:28	21.2867	UVW2	1.14253e-17	19.3873	9.40799e-17
