

date,jdobs,filter,absmag,mag,emag,limmag,instrument,reducedby,refsys,issub 
"2016 Apr 27",2457505.89,"r", -18.93, 16.03,0.01, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 Apr 27",2457505.89648,"r", -18.76, 16.21,0.07, 18.07,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 Apr 27",2457505.89648,"r", -18.78, 16.19,0.01, 20.61,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 Apr 27",2457505.91625,"r", -18.77, 16.20,0.01, 23.27,"P48+CFH12k","Cao LBNL coadd pipeline","IPAC",t
"2016 Apr 27",2457505.93602,"r", -18.76, 16.20,0.08, 18.01,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 Apr 27",2457505.93602,"r", -18.76, 16.21,0.01, 20.63,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 Apr 29",2457507.7,"i", -18.16, 16.80,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Apr 29",2457507.7,"r", -18.85, 16.11,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Apr 29",2457507.7,"Z", -18.25, 16.71,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Apr 29",2457507.7,"Y", -17.23, 17.73,0.03, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Apr 29",2457507.7,"J", -16.94, 18.02,0.03, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Apr 29",2457507.7,"H", -16.60, 18.36,0.06, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 01",2457509.74616,"B", -18.40, 16.56,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 01",2457509.74894,"B", -18.41, 16.55,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 01",2457509.75184,"V", -18.64, 16.33,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 01",2457509.75369,"V", -18.67, 16.29,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 01",2457509.75571,"g", -18.61, 16.35,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 01",2457509.75848,"g", -18.67, 16.30,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 01",2457509.7614,"r", -18.67, 16.29,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 01",2457509.76324,"r", -18.77, 16.19,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 01",2457509.76523,"i", -18.11, 16.86,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 01",2457509.76707,"i", -18.01, 16.95,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 02",2457510.84845,"g", -18.72, 16.24,0.04, 18.76,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 02",2457510.84845,"g", -18.74, 16.22,0.01, 21.26,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 02",2457510.87801,"g", -18.73, 16.24,0.04, 18.70,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 02",2457510.87801,"g", -18.74, 16.23,0.01, 23.13,"P48+CFH12k","Cao LBNL coadd pipeline","IPAC",t
"2016 May 02",2457510.87801,"g", -18.73, 16.23,0.01, 21.12,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 02",2457510.90781,"g", -18.71, 16.25,0.04, 18.89,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 02",2457510.90781,"g", -18.74, 16.22,0.01, 20.98,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 03",2457511.7,"Y", -17.15, 17.81,0.03, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 03",2457511.7,"r", -18.57, 16.39,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 03",2457511.7,"i", -17.80, 17.16,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 03",2457511.7,"Z", -18.10, 16.86,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 03",2457511.7,"J", -16.29, 18.67,0.03, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 03",2457511.7,"H", -16.50, 18.46,0.04, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 03",2457511.84553,"g", -18.66, 16.30,0.04, 18.63,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 03",2457511.84553,"g", -18.69, 16.27,0.01, 21.12,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 03",2457511.87522,"g", -18.61, 16.35,0.04, 18.73,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 03",2457511.87522,"g", -18.67, 16.29,0.01, 23.08,"P48+CFH12k","Cao LBNL coadd pipeline","IPAC",t
"2016 May 03",2457511.87522,"g", -18.68, 16.28,0.01, 20.98,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 03",2457511.90529,"g", -18.64, 16.33,0.04, 19.68,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 03",2457511.90529,"g", -18.67, 16.29,0.01, 20.92,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 04",2457512.83997,"g", -18.58, 16.39,0.04, 18.81,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 04",2457512.83997,"g", -18.60, 16.36,0.01, 21.26,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 04",2457512.86992,"g", -18.58, 16.38,0.04, 19.10,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 04",2457512.86992,"g", -18.62, 16.34,0.01, 21.26,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 04",2457512.89975,"g", -18.59, 16.38,0.05, 18.82,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 04",2457512.89975,"g", -18.62, 16.34,0.01, 21.08,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 04",2457512.89975,"g", -18.60, 16.36,0.01, 23.09,"P48+CFH12k","Cao LBNL coadd pipeline","IPAC",t
"2016 May 05",2457513.82323,"B", -18.12, 16.85,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 05",2457513.82602,"B", -18.14, 16.82,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 05",2457513.82898,"V", -18.47, 16.49,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 05",2457513.83083,"V", -18.31, 16.66,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 05",2457513.83292,"g", -18.41, 16.55,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 05",2457513.83483,"g", -18.50, 16.46,0.03, 19.13,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 05",2457513.83483,"g", -18.54, 16.42,0.01, 21.28,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 05",2457513.83571,"g", -18.41, 16.56,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 05",2457513.83865,"r", -18.43, 16.53,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 05",2457513.84052,"r", -18.40, 16.56,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 05",2457513.84253,"i", -17.71, 17.26,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 05",2457513.84441,"i", -17.70, 17.27,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 05",2457513.86447,"g", -18.47, 16.49,0.04, 19.04,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 05",2457513.86447,"g", -18.55, 16.41,0.01, 21.15,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 05",2457513.89421,"g", -18.44, 16.52,0.04, 19.00,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 05",2457513.89421,"g", -18.53, 16.43,0.01, 21.05,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 07",2457515.8683,"B", -17.93, 17.03,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 07",2457515.87108,"B", -17.90, 17.06,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 07",2457515.87403,"V", -18.31, 16.66,0.06, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 07",2457515.87588,"V", -18.27, 16.69,0.12, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 07",2457515.87796,"g", -18.07, 16.90,0.13, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 07",2457515.88074,"g", -18.21, 16.76,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 09",2457517.8301,"B", -17.72, 17.24,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 09",2457517.83289,"B", -17.72, 17.25,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 09",2457517.83587,"V", -18.27, 16.69,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 09",2457517.83781,"V", -18.25, 16.71,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 09",2457517.83991,"g", -18.08, 16.89,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 09",2457517.84269,"g", -18.10, 16.87,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 09",2457517.84567,"r", -18.28, 16.68,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 09",2457517.84765,"r", -18.30, 16.66,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 09",2457517.84972,"i", -17.70, 17.26,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 09",2457517.8516,"i", -17.71, 17.26,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.82987,"B", -17.62, 17.34,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.83266,"B", -17.61, 17.35,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.83561,"V", -18.20, 16.76,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.83751,"V", -18.21, 16.75,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.83959,"g", -17.99, 16.97,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.84237,"g", -18.00, 16.96,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.84535,"r", -18.25, 16.71,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.84722,"r", -18.28, 16.68,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.84925,"i", -17.78, 17.18,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.8511,"i", -17.72, 17.24,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 10",2457518.86894,"g", -18.08, 16.88,0.04, 19.38,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 10",2457518.86894,"g", -18.15, 16.81,0.01, 20.74,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 10",2457518.88381,"g", -18.15, 16.81,0.01, 22.61,"P48+CFH12k","Cao LBNL coadd pipeline","IPAC",t
"2016 May 10",2457518.89868,"g", -18.07, 16.90,0.05, 18.90,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 10",2457518.89868,"g", -18.15, 16.81,0.01, 20.55,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 11",2457519.84002,"g", -17.97, 16.99,0.09, 18.77,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 11",2457519.84002,"g", -18.09, 16.87,0.02, 19.86,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 11",2457519.86972,"g", -17.94, 17.03,0.07, 19.01,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 11",2457519.86972,"g", -18.07, 16.89,0.02, 20.35,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 11",2457519.88465,"g", -18.07, 16.89,0.01, 22.72,"P48+CFH12k","Cao LBNL coadd pipeline","IPAC",t
"2016 May 11",2457519.89957,"g", -17.93, 17.04,0.06, 18.87,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 11",2457519.89957,"g", -18.08, 16.89,0.01, 20.60,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 12",2457520.83779,"g", -17.94, 17.02,0.04, 19.57,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 12",2457520.83779,"g", -17.97, 16.99,0.01, 21.21,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 12",2457520.84032,"B", -17.42, 17.55,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 12",2457520.84311,"B", -17.40, 17.56,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 12",2457520.84612,"V", -18.10, 16.87,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 12",2457520.84799,"V", -18.11, 16.86,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 12",2457520.85008,"g", -17.83, 17.13,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 12",2457520.85236,"g", -17.99, 16.97,0.01, 22.99,"P48+CFH12k","Cao LBNL coadd pipeline","IPAC",t
"2016 May 12",2457520.85286,"g", -17.86, 17.10,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 12",2457520.85582,"r", -18.25, 16.71,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 12",2457520.85767,"r", -18.23, 16.73,0.01, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 12",2457520.85971,"i", -17.77, 17.19,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 12",2457520.86157,"i", -17.76, 17.20,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 12",2457520.86696,"g", -17.95, 17.01,0.04, 19.60,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 12",2457520.86696,"g", -17.99, 16.97,0.01, 21.08,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 12",2457520.89633,"g", -17.89, 17.07,0.05, 19.32,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 12",2457520.89633,"g", -17.97, 16.99,0.01, 20.95,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 13",2457521.84166,"g", -17.82, 17.15,0.05, 19.05,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 13",2457521.84166,"g", -17.93, 17.03,0.01, 20.91,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 13",2457521.85637,"g", -17.93, 17.03,0.01, 22.86,"P48+CFH12k","Cao LBNL coadd pipeline","IPAC",t
"2016 May 13",2457521.87109,"g", -17.79, 17.18,0.05, 19.16,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 13",2457521.87109,"g", -17.92, 17.04,0.01, 20.87,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 13",2457521.90066,"g", -17.79, 17.17,0.05, 19.17,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 13",2457521.90066,"g", -17.94, 17.02,0.01, 20.57,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 13",2457522.4008,"g", -17.90, 17.06,0.01, 22.61,"P48+CFH12k","Cao LBNL coadd pipeline","IPAC",t
"2016 May 14",2457522.90096,"g", -17.80, 17.16,0.04, 20.06,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2016 May 14",2457522.90096,"g", -17.86, 17.10,0.02, 20.46,"P48+CFH12k","Nugent LBNL pipeline v2","IPAC",t
"2016 May 18",2457526.673,"r", -18.18, 16.78,0.03, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 May 18",2457526.676,"i", -17.93, 17.03,0.03, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 May 18",2457526.678,"g", -17.14, 17.82,0.05, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 May 18",2457526.731,"r", -18.20, 16.77,0.02, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 May 18",2457526.733,"i", -17.91, 17.05,0.03, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 May 20",2457528.82668,"B", -16.73, 18.24,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 20",2457528.82946,"B", -16.65, 18.31,0.06, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 20",2457528.83241,"V", -17.72, 17.25,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 20",2457528.83431,"V", -17.73, 17.24,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 20",2457528.83639,"g", -17.12, 17.84,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 20",2457528.83919,"g", -17.15, 17.81,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 20",2457528.84214,"r", -18.18, 16.78,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 20",2457528.84404,"r", -18.11, 16.85,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 20",2457528.8461,"i", -17.99, 16.97,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 20",2457528.84795,"i", -17.98, 16.99,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 24",2457532.82339,"B", -16.36, 18.61,0.06, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 24",2457532.82622,"B", -16.41, 18.55,0.06, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 24",2457532.82927,"V", -17.51, 17.46,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 24",2457532.83116,"V", -17.46, 17.50,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 24",2457532.83329,"g", -16.86, 18.10,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 24",2457532.83608,"g", -16.81, 18.16,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 24",2457532.8391,"r", -17.94, 17.02,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 24",2457532.84097,"r", -17.98, 16.98,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 24",2457532.84332,"i", -17.83, 17.13,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 24",2457532.84519,"i", -17.92, 17.04,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 26",2457534.82315,"B", -16.37, 18.59,0.08, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 26",2457534.82596,"B", -16.26, 18.70,0.08, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 26",2457534.82895,"V", -17.36, 17.60,0.06, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 26",2457534.83083,"V", -17.42, 17.54,0.06, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 26",2457534.83289,"g", -16.80, 18.16,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 26",2457534.83573,"g", -16.70, 18.27,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 26",2457534.83884,"r", -17.77, 17.20,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 26",2457534.84069,"r", -17.76, 17.21,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 26",2457534.84279,"i", -17.72, 17.25,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 26",2457534.84481,"i", -17.80, 17.17,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 May 27",2457535.73,"r", -17.70, 17.26,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 27",2457535.73,"H", -16.86, 18.10,0.04, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 27",2457535.73,"J", -16.62, 18.34,0.03, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 27",2457535.73,"Y", -18.10, 16.86,0.02, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 27",2457535.73,"Z", -17.85, 17.11,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 May 27",2457535.73,"i", -17.63, 17.33,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Jun 02",2457541.72,"J", -16.22, 18.74,0.05, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Jun 02",2457541.72,"Y", -17.82, 17.14,0.02, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Jun 02",2457541.72,"H", -16.52, 18.44,0.05, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Jun 02",2457541.72,"r", -17.41, 17.55,0.00, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Jun 02",2457541.72,"i", -17.30, 17.66,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Jun 02",2457541.72,"Z", -17.49, 17.47,0.01, 99.00,"SPM15+RATIR","Fox","None",f
"2016 Jun 07",2457546.63911,"B", -15.85, 19.11,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.64189,"B", -15.98, 18.98,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.64483,"V", -16.92, 18.04,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.64667,"V", -16.89, 18.07,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.64868,"g", -16.35, 18.61,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.65145,"g", -16.35, 18.61,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.79087,"B", -15.95, 19.01,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.79366,"B", -15.99, 18.97,0.05, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.79661,"V", -16.84, 18.12,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.79846,"V", -16.86, 18.10,0.04, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.80052,"g", -16.31, 18.66,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.80331,"g", -16.31, 18.65,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.80627,"r", -17.23, 17.74,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.80812,"r", -17.23, 17.74,0.02, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.81013,"i", -17.04, 17.92,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 07",2457546.81198,"i", -17.04, 17.93,0.03, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 09",2457548.828,"r", -17.22, 17.75,0.02, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 Jun 09",2457548.833,"i", -17.00, 17.97,0.03, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 Jun 09",2457548.835,"g", -16.25, 18.72,0.06, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 Jun 10",2457549.76199,"r", -17.13, 17.83,0.01, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 Jun 10",2457549.76399,"i", -16.98, 17.98,0.03, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 Jun 10",2457549.766,"g", -16.22, 18.75,0.05, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 Jun 10",2457549.768,"u", 99.0, 99.0,99.0, 99.00,"P60+SED-Machine","Fremling Automated Pipeline SEDM","SDSS",t
"2016 Jun 16",2457555.6009,"B", -15.84, 19.13,0.10, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 16",2457555.60367,"B", -15.68, 19.29,0.12, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
"2016 Jun 16",2457555.60659,"V", -16.64, 18.32,0.07, 99.00,"LCOGT1m+Sinistro","LCOGT Valenti Pipeline","None",f
