#time band flux fluxerr zp zpsys
57483.200  RATIRr  3.0761e+02  2.8332e+00  25.000  ab
57483.200  RATIRi  2.4889e+02  2.2923e+00  25.000  ab
57483.230  RATIRJ  1.4723e+02  1.6273e+01  25.000  ab
57483.230  RATIRY  1.7701e+02  1.3043e+01  25.000  ab
57483.230  RATIRZ  2.3550e+02  8.6763e+00  25.000  ab
#57483.230  RATIRH  0.0000e+00  2.5994e+01  25.000  ab
57487.500  RATIRY  8.3946e+02  2.3195e+01  25.000  ab
57487.500  RATIRJ  5.3456e+02  1.4771e+01  25.000  ab
57487.500  RATIRi  1.1588e+03  1.0673e+01  25.000  ab
57487.500  RATIRr  1.4060e+03  1.2950e+01  25.000  ab
57487.500  RATIRH  4.0551e+02  2.6144e+01  25.000  ab
57492.250  RATIRZ  2.0512e+03  1.8892e+01  25.000  ab
57492.250  RATIRH  6.0814e+02  3.3607e+01  25.000  ab
57492.250  RATIRJ  1.2023e+03  2.2147e+01  25.000  ab
57492.250  RATIRY  1.7061e+03  7.8568e+01  25.000  ab
57492.250  RATIRi  2.3550e+03  2.1691e+01  25.000  ab
57492.250  RATIRr  3.0479e+03  2.8072e+01  25.000  ab
57497.210  RATIRi  2.5119e+03  2.3135e+01  25.000  ab
57497.210  RATIRr  4.1687e+03  3.8395e+01  25.000  ab
57497.210  RATIRZ  2.4660e+03  2.2713e+01  25.000  ab
57497.210  RATIRY  1.4322e+03  2.6382e+01  25.000  ab
57497.210  RATIRJ  1.2134e+03  3.3527e+01  25.000  ab
57497.210  RATIRH  6.5464e+02  2.4118e+01  25.000  ab
57499.260  RATIRi  2.4210e+03  2.2299e+01  25.000  ab
57499.260  RATIRJ  1.1272e+03  3.1146e+01  25.000  ab
57499.260  RATIRY  1.2942e+03  2.3840e+01  25.000  ab
57499.260  RATIRZ  2.5351e+03  2.3349e+01  25.000  ab
57499.260  RATIRH  5.8076e+02  2.1396e+01  25.000  ab
57499.260  RATIRr  4.3251e+03  3.9836e+01  25.000  ab
57503.220  RATIRZ  2.3768e+03  2.1892e+01  25.000  ab
57503.220  RATIRH  4.7863e+02  1.7633e+01  25.000  ab
57503.220  RATIRJ  8.7096e+02  2.4066e+01  25.000  ab
57503.220  RATIRY  9.2897e+02  1.7112e+01  25.000  ab
57503.220  RATIRr  4.2855e+03  3.9471e+01  25.000  ab
57503.220  RATIRi  2.2491e+03  2.0715e+01  25.000  ab
57507.200  RATIRi  1.9055e+03  1.7550e+01  25.000  ab
57507.200  RATIRr  3.5975e+03  3.3134e+01  25.000  ab
57507.200  RATIRZ  2.0701e+03  1.9067e+01  25.000  ab
57507.200  RATIRY  8.0910e+02  2.2356e+01  25.000  ab
57507.200  RATIRJ  6.1944e+02  1.7116e+01  25.000  ab
57507.200  RATIRH  4.5290e+02  2.5028e+01  25.000  ab
57511.200  RATIRY  7.5162e+02  2.0768e+01  25.000  ab
57511.200  RATIRr  2.7797e+03  2.5602e+01  25.000  ab
57511.200  RATIRi  1.3677e+03  1.2597e+01  25.000  ab
57511.200  RATIRZ  1.8030e+03  1.6606e+01  25.000  ab
57511.200  RATIRJ  3.4041e+02  9.4058e+00  25.000  ab
57511.200  RATIRH  4.1305e+02  1.5217e+01  25.000  ab
57535.230  RATIRr  1.2474e+03  1.1489e+01  25.000  ab
57535.230  RATIRH  5.7544e+02  2.1200e+01  25.000  ab
57535.230  RATIRJ  4.6132e+02  1.2747e+01  25.000  ab
57535.230  RATIRY  1.8030e+03  3.3213e+01  25.000  ab
57535.230  RATIRZ  1.4322e+03  1.3191e+01  25.000  ab
57535.230  RATIRi  1.1695e+03  1.0771e+01  25.000  ab
57541.220  RATIRJ  3.1915e+02  1.4698e+01  25.000  ab
57541.220  RATIRY  1.3932e+03  2.5663e+01  25.000  ab
57541.220  RATIRH  4.2073e+02  1.9375e+01  25.000  ab
#57541.220  RATIRr  9.5499e+02  0.0000e+00  25.000  ab
57541.220  RATIRi  8.6298e+02  7.9483e+00  25.000  ab
57541.220  RATIRZ  1.0280e+03  9.4684e+00  25.000  ab
